,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
0,INST DE BTO TEC COMERCIAL PITAGORAS                                                                 ,KR 5 11 67,"KR 5 11 67,Bogota,Colombia","CARRERA 5 11 67,Bogota,Colombia","(4.5977768, -74.07332459999999)"
1,GIMNASIO INFANTIL FEDERICO FROEBEL,CL 32 SUR 52 A 54,"CL 32 SUR 52 A 54,Bogota,Colombia","CALLE 32 SUR 52 A 54,Bogota,Colombia","(4.6050717, -74.12871609999999)"
2,GIMNASIO INFANTIL LOS NIÑOS DEL MAÑANA,CL 134 D 47 27,"CL 134 D 47 27,Bogota,Colombia","CALLE 134 D 47 27,Bogota,Colombia","(4.7210207, -74.05454519999999)"
3,COLEGIO FRANCISCO PRIMERO S.S. (IED),KR 28 63 64,"KR 28 63 64,Bogota,Colombia","CARRERA 28 63 64,Bogota,Colombia","(4.6521273, -74.0756332)"
4,COL SAN JUAN VIANETH                                                                                ,KR 2 C 3 18 SUR,"KR 2 C 3 18 SUR,Bogota,Colombia","CARRERA 2 C 3 18 SUR,Bogota,Colombia","(4.6161775, -74.06377429999999)"
5,COL SAN PATRICIO                                                                                    ,KR 80 137 02,"KR 80 137 02,Bogota,Colombia","CARRERA 80 137 02,Bogota,Colombia","(4.7307369, -74.081751)"
6,COL CRISTIANO FUENTE DE VIDA                                                                        ,CL 89 A BIS B 113 45,"CL 89 A BIS B 113 45,Bogota,Colombia","CALLE 89 A BIS B 113 45,Bogota,Colombia","(4.7054816, -74.1028465)"
7,LIC PARROQ SAN JOSE                                                                                 ,TV 13 H 45 F 33 SUR,"TV 13 H 45 F 33 SUR,Bogota,Colombia","TV 13 H 45 F 33 SUR,Bogota,Colombia","(4.710988599999999, -74.072092)"
8,LIC ESTRELLITA ESTUDIANTIL                                                                          ,KR 64 64 64,"KR 64 64 64,Bogota,Colombia","CARRERA 64 64 64,Bogota,Colombia","(4.5901264, -74.153987)"
9,COL LUIGI PIRANDELLO,KR 113 74 B 06,"KR 113 74 B 06,Bogota,Colombia","CARRERA 113 74 B 06,Bogota,Colombia","(4.7162608, -74.12612159999999)"
10,JARDIN INFANTIL CAMPESTRE MI BELLA IMAGEN                                                           ,KR 17 164 39,"KR 17 164 39,Bogota,Colombia","CARRERA 17 164 39,Bogota,Colombia","(4.744299199999999, -74.0404887)"
11,COLEGIO MARCO FIDEL SUAREZ (IED),DG 52 SUR 25 00,"DG 52 SUR 25 00,Bogota,Colombia","DIAGONAL 52 SUR 25 00,Bogota,Colombia","(4.5797924, -74.1336645)"
12,INST ORESTES SINDICI                                                                                ,CL 63 A SUR 70 G 84,"CL 63 A SUR 70 G 84,Bogota,Colombia","CALLE 63 A SUR 70 G 84,Bogota,Colombia","(4.5879552, -74.1650478)"
13,COL DEL BOSQUE                                                                                      ,KR 65 170 25,"KR 65 170 25,Bogota,Colombia","CARRERA 65 170 25,Bogota,Colombia","(4.7572988, -74.0602315)"
14,INST SANTA INES                                                                                     ,KR 46 A 71 85,"KR 46 A 71 85,Bogota,Colombia","CARRERA 46 A 71 85,Bogota,Colombia","(4.571565, -74.16143269999999)"
15,CENTRO DE EDUCACION LABORAL,AC 72 77 A 73,"AC 72 77 A 73,Bogota,Colombia","AC 72 77 A 73,Bogota,Colombia","(4.710988599999999, -74.072092)"
16,LIC ADOLFO LEON GOMEZ                                                                               ,KR 3 ESTE 101 A 08 SUR,"KR 3 ESTE 101 A 08 SUR,Bogota,Colombia","CARRERA 3 ESTE 101 A 08 SUR,Bogota,Colombia","(4.4956852, -74.1140285)"
17,COL CENTRO CULTURAL                                                                                 ,CL 72 SUR 2 A 32,"CL 72 SUR 2 A 32,Bogota,Colombia","CALLE 72 SUR 2 A 32,Bogota,Colombia","(4.6078126, -74.19676890000001)"
18,LIC PEDAGOGICO  LOS SAUCES                                                                          ,CLL. 134 NO.105A-04,"CLL. 134 NO.105A-04,Bogota,Colombia","CLL. 134 NO.105A-04,Bogota,Colombia","(4.7136531, -74.03526889999999)"
19,LIC SANTA PAULA,CR. 92A NO.76-42/32,"CR. 92A NO.76-42/32,Bogota,Colombia","CR. 92A NO.76-42/32,Bogota,Colombia","(4.7044175, -74.1074773)"
20,COL DEL SAGRADO CORAZON DE JESUS BETHLEMITAS                                                        ,KR 7 65 42,"KR 7 65 42,Bogota,Colombia","CARRERA 7 65 42,Bogota,Colombia","(4.6495377, -74.0589845)"
21,COL ADOLFO LEON GOMEZ,CR. 78A NO. 64D-74 SUR,"CR. 78A NO. 64D-74 SUR,Bogota,Colombia","CR. 78A NO. 64D-74 SUR,Bogota,Colombia","(4.6419887, -74.14028259999999)"
22,GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA,DG 45 B SUR 8 30 ESTE,"DG 45 B SUR 8 30 ESTE,Bogota,Colombia","DIAGONAL 45 B SUR 8 30 ESTE,Bogota,Colombia","(4.5436805, -74.09043249999999)"
23,COL INTEGRADO SANTO TORIBIO DE MOGROVEJO                                                            ,CL 49 A SUR 5 A 37,"CL 49 A SUR 5 A 37,Bogota,Colombia","CALLE 49 A SUR 5 A 37,Bogota,Colombia","(4.5472527, -74.11210609999999)"
24,GIMN WILLIAM MACKINLEY                                                                              ,DG 22 B 48 53,"DG 22 B 48 53,Bogota,Colombia","DIAGONAL 22 B 48 53,Bogota,Colombia","(4.570826500000001, -74.09058470000001)"
25,LICEO BET-EL,KR 90 135 B 68,"KR 90 135 B 68,Bogota,Colombia","CARRERA 90 135 B 68,Bogota,Colombia","(4.7345532, -74.0843601)"
26,COLEGIO INTEGRADO EDUARDO CABALLERO CALDERON,CL 132 D BIS 132 08,"CL 132 D BIS 132 08,Bogota,Colombia","CALLE 132 D BIS 132 08,Bogota,Colombia","(4.7436248, -74.11352380000001)"
27,COLEGIO GUSTAVO MORALES MORALES (IED),CL 129 55 55,"CL 129 55 55,Bogota,Colombia","CALLE 129 55 55,Bogota,Colombia","(4.716605899999999, -74.0642749)"
28,LIC PSICOPEDAG UCRANIA                                                                              ,CR. 3B NO.48R-87 SUR,"CR. 3B NO.48R-87 SUR,Bogota,Colombia","CR. 3B NO.48R-87 SUR,Bogota,Colombia","(4.509962199999999, -74.119911)"
29,LIC PSICOPEDAG MORATO                                                                               ,DG 103 54 65,"DG 103 54 65,Bogota,Colombia","DIAGONAL 103 54 65,Bogota,Colombia","(4.710988599999999, -74.072092)"
30,LICEO ARTISTICO SAN JOSE,KR 137 BIS 132 F 12,"KR 137 BIS 132 F 12,Bogota,Colombia","CARRERA 137 BIS 132 F 12,Bogota,Colombia","(4.744377699999999, -74.11464)"
31,COLEGIO INSTITUTO TECNICO DISTRITAL REPUBLICA DE GUATEMALA (IED),CL 78 BIS 68 A 45,"CL 78 BIS 68 A 45,Bogota,Colombia","CALLE 78 BIS 68 A 45,Bogota,Colombia","(4.690179, -74.0868519)"
32,INST ANDRES FEY                                                                                     ,CL 66 A 72 40,"CL 66 A 72 40,Bogota,Colombia","CALLE 66 A 72 40,Bogota,Colombia","(4.681452999999999, -74.0996954)"
33,INST DE CAPACITACION PARA EL TRABAJO,CL 63 22 39,"CL 63 22 39,Bogota,Colombia","CALLE 63 22 39,Bogota,Colombia","(4.6506387, -74.0716494)"
34,NUEVO LIC SANTA CLARA,KR 10 49 F 90 SUR,"KR 10 49 F 90 SUR,Bogota,Colombia","CARRERA 10 49 F 90 SUR,Bogota,Colombia","(4.558939200000001, -74.1211766)"
35,LIC MODERNO MIS COMPAÑERITOS                                                                        ,CL 20 C 96 I 40,"CL 20 C 96 I 40,Bogota,Colombia","CALLE 20 C 96 I 40,Bogota,Colombia","(4.6738861, -74.1398351)"
36,JARD INF LERNER Y KLEIN                                                                             ,DG 53 43 75,"DG 53 43 75,Bogota,Colombia","DIAGONAL 53 43 75,Bogota,Colombia","(4.542148399999999, -74.1135362)"
37,INSTITUTO DANTE ALIGHIERI,CL 186 8 44,"CL 186 8 44,Bogota,Colombia","CALLE 186 8 44,Bogota,Colombia","(4.763006, -74.02934669999999)"
38,COLEGIO ALEJANDRO OBREGON (IED),CL 30 SUR 15 45,"CL 30 SUR 15 45,Bogota,Colombia","CALLE 30 SUR 15 45,Bogota,Colombia","(4.5763938, -74.1087389)"
39,LIC  ANDRES DIAZ VENERO DE LEIVA                                                                    ,KR 7 D BIS A 156 08,"KR 7 D BIS A 156 08,Bogota,Colombia","CARRERA 7 D BIS A 156 08,Bogota,Colombia","(4.7324524, -74.02662289999999)"
40,JARD INF TALLER EL GARABATEO MATERNO INFANTIL,CL 74 B 68 A 18,"CL 74 B 68 A 18,Bogota,Colombia","CALLE 74 B 68 A 18,Bogota,Colombia","(4.6820052, -74.0853278)"
41,JARDIN INFANTIL UNIVERSO MAGICO,KR 36 A 57 95,"KR 36 A 57 95,Bogota,Colombia","CARRERA 36 A 57 95,Bogota,Colombia","(4.6476247, -74.0814613)"
42,COLEGIO ANTONIO JOSE URIBE (IED),CL 3 9 80,"CL 3 9 80,Bogota,Colombia","CALLE 3 9 80,Bogota,Colombia","(4.5924048, -74.082402)"
43,COL DE LA PRESENTACION SANS FACON                                                                   ,CL 170 17 A 55,"CL 170 17 A 55,Bogota,Colombia","CALLE 170 17 A 55,Bogota,Colombia","(4.7498035, -74.0409379)"
44,LIC EL ENCUENTRO                                                                                    ,KR 20 81 55,"KR 20 81 55,Bogota,Colombia","CARRERA 20 81 55,Bogota,Colombia","(4.6391335, -74.07177670000002)"
45,INST MARIA                                                                                          ,KR 69 B 77 36,"KR 69 B 77 36,Bogota,Colombia","CARRERA 69 B 77 36,Bogota,Colombia","(4.685312199999999, -74.0847057)"
46,COLEGIO AGUSTIN FERNANDEZ (IED),KR 7 155 20,"KR 7 155 20,Bogota,Colombia","CARRERA 7 155 20,Bogota,Colombia","(4.7296188, -74.02360879999999)"
47,EL PORTAL FUNDACION     ,IND AV. 13 NO.62-40 SUR (VÍA USME),"IND AV. 13 NO.62-40 SUR (VÍA USME),Bogota,Colombia","IND AV. 13 NO.62-40 SUR (VÍA USME),Bogota,Colombia","(4.551748799999999, -74.09494339999999)"
48,COLEGIO CEDID SAN PABLO (IED),IND TR. 6A NO.6A-30 (BOSA),"IND TR. 6A NO.6A-30 (BOSA),Bogota,Colombia","IND TR. 6A NO.6A-30 (BOSA),Bogota,Colombia","(4.608664399999999, -74.18133639999999)"
49,COL NUEVA INGLATERRA                                                                                ,CL 218 50 60,"CL 218 50 60,Bogota,Colombia","CALLE 218 50 60,Bogota,Colombia","(4.7947482, -74.0466624)"
50,GIMN IMPERIAL IGNACIA CAMACHO DE CIFUENTES                                                          ,CR. 84 NO.55-17 SUR,"CR. 84 NO.55-17 SUR,Bogota,Colombia","CR. 84 NO.55-17 SUR,Bogota,Colombia","(4.6012939, -74.1172287)"
51,COLEGIO LA PAZ (CED),DG 52 A SUR 5 B 48,"DG 52 A SUR 5 B 48,Bogota,Colombia","DIAGONAL 52 A SUR 5 B 48,Bogota,Colombia","(4.543554100000001, -74.1167837)"
52,NUEVO COL BILING LARCHMONT,CR. 59 NO.173-51,"CR. 59 NO.173-51,Bogota,Colombia","CR. 59 NO.173-51,Bogota,Colombia","(4.7528055, -74.04231550000002)"
53,LIC PSICOPEDAG SAN PABLO,TV 5 G 48 P 03 SUR,"TV 5 G 48 P 03 SUR,Bogota,Colombia","TV 5 G 48 P 03 SUR,Bogota,Colombia","(4.557417, -74.1105378)"
54,COLEGIO KUEPA,CL 22 G 96 I 23,"CL 22 G 96 I 23,Bogota,Colombia","CALLE 22 G 96 I 23,Bogota,Colombia","(4.6750028, -74.1381289)"
55,JARD INF PITIN                                                                                      ,CLL. 80 NO.42-20,"CLL. 80 NO.42-20,Bogota,Colombia","CLL. 80 NO.42-20,Bogota,Colombia","(4.568080999999999, -74.17035709999999)"
56,CENT FE Y ALEGRIA PATIO BONITO                                                                      ,KR 95 24 15 SUR,"KR 95 24 15 SUR,Bogota,Colombia","CARRERA 95 24 15 SUR,Bogota,Colombia","(4.695618, -74.1152788)"
57,JARD INF SATELITE PRIMAVERA,TV 40 C 6 B 26,"TV 40 C 6 B 26,Bogota,Colombia","TV 40 C 6 B 26,Bogota,Colombia","(4.600855800000001, -74.0879874)"
58,COLEGIO ALEXANDER FLEMING (IED),DG 45 BIS SUR 13 F 03,"DG 45 BIS SUR 13 F 03,Bogota,Colombia","DIAGONAL 45 BIS SUR 13 F 03,Bogota,Colombia","(4.5715942, -74.1209766)"
59,JARDÍN INFANTIL CHISPITAS DE LUZ,TV 78 D 49 04 SUR,"TV 78 D 49 04 SUR,Bogota,Colombia","TV 78 D 49 04 SUR,Bogota,Colombia","(4.5463011, -74.1105415)"
60,COL MODERNO ENGATIVA                                                                                ,CL 64 BIS 112 B 61,"CL 64 BIS 112 B 61,Bogota,Colombia","CALLE 64 BIS 112 B 61,Bogota,Colombia","(4.7048212, -74.1361306)"
61,COL SANTO TOMAS DE AQUINO                                                                           ,KR 21 132 46,"KR 21 132 46,Bogota,Colombia","CARRERA 21 132 46,Bogota,Colombia","(4.717278500000001, -74.0496802)"
62,GIMNASIO LA FONTAINE,KR 74 F 59 A 16 SUR,"KR 74 F 59 A 16 SUR,Bogota,Colombia","CARRERA 74 F 59 A 16 SUR,Bogota,Colombia","(4.5925253, -74.1741117)"
63,UNID PREESC SANTA MONICA                                                                            ,CR. 38 NO.55-18,"CR. 38 NO.55-18,Bogota,Colombia","CR. 38 NO.55-18,Bogota,Colombia","(4.6456424, -74.0829412)"
64,COL DE BTO PATRIA                                                                                   ,CL 100 11 00,"CL 100 11 00,Bogota,Colombia","CALLE 100 11 00,Bogota,Colombia","(4.6893141, -74.0709184)"
65,LICEO HUELLAS DE TRIUNFO,CR. 89 A NO. 88 - 52 ,"CR. 89 A NO. 88 - 52 ,Bogota,Colombia","CR. 89 A NO. 88 - 52 ,Bogota,Colombia","(4.7106542, -74.09752089999999)"
66,LIC DE CERVANTES EL RETIRO                                                                          ,KR 8 83 29,"KR 8 83 29,Bogota,Colombia","CARRERA 8 83 29,Bogota,Colombia","(4.664508, -74.0494885)"
67,COLEGIO ALEMANIA UNIFICADA (IED),CL 37 SUR 1 F 00 ESTE,"CL 37 SUR 1 F 00 ESTE,Bogota,Colombia","CALLE 37 SUR 1 F 00 ESTE,Bogota,Colombia","(4.5578555, -74.097671)"
68,NUEVO LIC PSICOPEDAGOGICO                                                                           ,CL 35 C SUR 73 F 03,"CL 35 C SUR 73 F 03,Bogota,Colombia","CALLE 35 C SUR 73 F 03,Bogota,Colombia","(4.6211464, -74.1480682)"
69,INST RICHARD ANTONIO                                                                                ,CL 89 95 F 78 IN 107,"CL 89 95 F 78 IN 107,Bogota,Colombia","CALLE 89 95 F 78 IN 107,Bogota,Colombia","(4.7172497, -74.1033867)"
70,LIC INF MIS PRIMEROS LOGROS                                                                         ,KR 7 ESTE 45 A 20 SUR,"KR 7 ESTE 45 A 20 SUR,Bogota,Colombia","CARRERA 7 ESTE 45 A 20 SUR,Bogota,Colombia","(4.5438652, -74.0917492)"
71,LIC OCTAVIO PAZ                                                                                     ,KR 88 I BIS 58 A 14 SUR,"KR 88 I BIS 58 A 14 SUR,Bogota,Colombia","CARRERA 88 I BIS 58 A 14 SUR,Bogota,Colombia","(4.6282187, -74.1909598)"
72,COLEGIO JOSÉ FRANCISCO SOCARRÁS (IED),KR 88 C 66 A 03 SUR,"KR 88 C 66 A 03 SUR,Bogota,Colombia","CARRERA 88 C 66 A 03 SUR,Bogota,Colombia","(4.6247618, -74.1943874)"
73,COLEGIO NUEVA GENERACIÓN DUMBO,CL 3 A 71 A 03,"CL 3 A 71 A 03,Bogota,Colombia","CALLE 3 A 71 A 03,Bogota,Colombia","(4.6257034, -74.1337858)"
74,INST BILING DEL  SUR                                                                                ,CL 54 A 27 39 SUR,"CL 54 A 27 39 SUR,Bogota,Colombia","CALLE 54 A 27 39 SUR,Bogota,Colombia","(4.578265, -74.1394191)"
75,COLEGIO VENTIUN ANGELES (IED),KR 90 154 A 09,"KR 90 154 A 09,Bogota,Colombia","CARRERA 90 154 A 09,Bogota,Colombia","(4.7501223, -74.08059109999999)"
76,GIMN PUCIARRELLI,CL 70 B 107 A 42,"CL 70 B 107 A 42,Bogota,Colombia","CALLE 70 B 107 A 42,Bogota,Colombia","(4.706260299999999, -74.1247966)"
77,COLEGIO FRANCISCO DE PAULA SANTANDER (IED),CL 61 SUR 80 I 40,"CL 61 SUR 80 I 40,Bogota,Colombia","CALLE 61 SUR 80 I 40,Bogota,Colombia","(4.6109376, -74.1847382)"
78,COL DEL ROSARIO DE SANTO DOMINGO                                                                    ,CL 68 0 51 ESTE,"CL 68 0 51 ESTE,Bogota,Colombia","CALLE 68 0 51 ESTE,Bogota,Colombia","(4.6481321, -74.0529861)"
79,COL COLOMBO HEBREO                                                                                  ,AC 153 50 65,"AC 153 50 65,Bogota,Colombia","AC 153 50 65,Bogota,Colombia","(4.7385638, -74.05385679999999)"
80,LIC PSICOPEDAG ELLEN KEY                                                                            ,KR 81 D 24 B 96,"KR 81 D 24 B 96,Bogota,Colombia","CARRERA 81 D 24 B 96,Bogota,Colombia","(4.6702903, -74.12067259999999)"
81,COLEGIO SANDALPHON,CL 143 18 A 41,"CL 143 18 A 41,Bogota,Colombia","CALLE 143 18 A 41,Bogota,Colombia","(4.7247378, -74.04555739999999)"
82,COL SOLES DEL SABER                                                                                 ,DG 62 H BIS SUR 74 A 30,"DG 62 H BIS SUR 74 A 30,Bogota,Colombia","DIAGONAL 62 H BIS SUR 74 A 30,Bogota,Colombia","(4.5878932, -74.1727945)"
83,LIC PEDAG CREAR Y APRENDER                                                                          ,CR. 24C NO.23A-11 SUR,"CR. 24C NO.23A-11 SUR,Bogota,Colombia","CR. 24C NO.23A-11 SUR,Bogota,Colombia","(4.5788031, -74.0866082)"
84,LICEO INFANTIL JEAN PIAGET,KR 22 I 59 A 13 SUR,"KR 22 I 59 A 13 SUR,Bogota,Colombia","CARRERA 22 I 59 A 13 SUR,Bogota,Colombia","(4.5684323, -74.1466398)"
85,COLEGIO MARSELLA (IED),KR 69 7 90,"KR 69 7 90,Bogota,Colombia","CARRERA 69 7 90,Bogota,Colombia","(4.6318682, -74.1273662)"
86,JARD INF RONDITAS DE ALCAPARROS                                                                     ,CL 132 A 110 A 03,"CL 132 A 110 A 03,Bogota,Colombia","CALLE 132 A 110 A 03,Bogota,Colombia","(4.7378456, -74.1036682)"
87,LIC LA SABANA                                                                                       ,KR 59 173 25,"KR 59 173 25,Bogota,Colombia","CARRERA 59 173 25,Bogota,Colombia","(4.646735, -74.0682807)"
88,COLEGIO LUIS ANGEL ARANGO  (IED),CL 23 G 103 60,"CL 23 G 103 60,Bogota,Colombia","CALLE 23 G 103 60,Bogota,Colombia","(4.6820824, -74.1377899)"
89,JARD INF GIMN CASTELLO                                                                              ,CL 127 B 46 07,"CL 127 B 46 07,Bogota,Colombia","CALLE 127 B 46 07,Bogota,Colombia","(4.709482, -74.0556032)"
90,JARD INF CARRUSEL DE COLORES                                                                        ,KR 94 145 68,"KR 94 145 68,Bogota,Colombia","CARRERA 94 145 68,Bogota,Colombia","(4.7282233, -74.0912257)"
91,COLEGIO COLSUBSIDIO CHICALÁ,KR 87 53 C 26 SUR,"KR 87 53 C 26 SUR,Bogota,Colombia","CARRERA 87 53 C 26 SUR,Bogota,Colombia","(4.640236, -74.159589)"
92,JARDIN INFANTIL LA CASITA DE VIKY,AK 70 103 07,"AK 70 103 07,Bogota,Colombia","AK 70 103 07,Bogota,Colombia","(4.664007199999999, -74.1103916)"
93,LIC  NTRA SRA DE BELEN                                                                              ,CR. 97 NO.59A-51 SUR,"CR. 97 NO.59A-51 SUR,Bogota,Colombia","CR. 97 NO.59A-51 SUR,Bogota,Colombia","(4.751386999999999, -74.0854828)"
94,INSTITUTO EL ROBLE,CL 152 A 17 44,"CL 152 A 17 44,Bogota,Colombia","CALLE 152 A 17 44,Bogota,Colombia","(4.734374, -74.04330039999999)"
95,COLEGIO TABORA  (IED),KR 77 B 74 A 02,"KR 77 B 74 A 02,Bogota,Colombia","CARRERA 77 B 74 A 02,Bogota,Colombia","(4.6939018, -74.098145)"
96,COLEGIO FRANCISCO I,KR 98 A 48 51 SUR,"KR 98 A 48 51 SUR,Bogota,Colombia","CARRERA 98 A 48 51 SUR,Bogota,Colombia","(4.665787900000001, -74.1532361)"
97,LIC BOTERITOS                                                                                       ,CL 136 A 94 B 21 IN 102,"CL 136 A 94 B 21 IN 102,Bogota,Colombia","CALLE 136 A 94 B 21 IN 102,Bogota,Colombia","(4.7435294, -74.1091573)"
98,COLEGIO DE CULTURA POPULAR (IED),KR 51 16 64 SUR,"KR 51 16 64 SUR,Bogota,Colombia","CARRERA 51 16 64 SUR,Bogota,Colombia","(4.6061165, -74.1203944)"
99,COLEGIO LOS COMUNEROS - OSWALDO GUAYAZAMIN (IED),KR 4 G ESTE 94 A 23 SUR,"KR 4 G ESTE 94 A 23 SUR,Bogota,Colombia","CARRERA 4 G ESTE 94 A 23 SUR,Bogota,Colombia","(4.4976468, -74.1090985)"
100,COLEGIO RAFAEL URIBE URIBE (IED),KR 25 47 00 SUR,"KR 25 47 00 SUR,Bogota,Colombia","CARRERA 25 47 00 SUR,Bogota,Colombia","(4.6212466, -74.0782375)"
101,LIC LOS ANGELES SUBA                                                                                ,CLL. 136 NO.93A-33,"CLL. 136 NO.93A-33,Bogota,Colombia","CLL. 136 NO.93A-33,Bogota,Colombia","(4.73512, -74.08765520000001)"
102,JARD INF BILING K-RITAS FELICES                                                                     ,CLL. 32 A SUR NO. 27 - 74 SUR,"CLL. 32 A SUR NO. 27 - 74 SUR,Bogota,Colombia","CLL. 32 A SUR NO. 27 - 74 SUR,Bogota,Colombia","(4.5859099, -74.117003)"
103,JARD INF INFANCIA CREATIVA                                                                          ,CL 19 S 10 A 66,"CL 19 S 10 A 66,Bogota,Colombia","CALLE 19 S 10 A 66,Bogota,Colombia","(4.6151503, -74.12972049999999)"
104,CENTRO JOHANN KEPLER,KR 80 P 75 22 SUR,"KR 80 P 75 22 SUR,Bogota,Colombia","CARRERA 80 P 75 22 SUR,Bogota,Colombia","(4.6108857, -74.2030173)"
105,COLEGIO AVE MARIA                                                                                 ,CL 12 SUR 4 40,"CL 12 SUR 4 40,Bogota,Colombia","CALLE 12 SUR 4 40,Bogota,Colombia","(4.576761800000001, -74.0853197)"
106,COLEGIO MORALBA SUR ORIENTAL (IED),CL 43 SUR TV 16 ESTE,"CL 43 SUR TV 16 ESTE,Bogota,Colombia","CALLE 43 SUR TV 16 ESTE,Bogota,Colombia","(4.5429575, -74.0818475)"
107,COLEGIO BILINGÜE INTEGRAL,CL 1 A 29 05,"CL 1 A 29 05,Bogota,Colombia","CALLE 1 A 29 05,Bogota,Colombia","(4.5973839, -74.1042468)"
108,LIC INF SANTA TERESITA DE LISIEUX                                                                   ,CL 11 A BIS 73 A 27,"CL 11 A BIS 73 A 27,Bogota,Colombia","CALLE 11 A BIS 73 A 27,Bogota,Colombia","(4.6440158, -74.1367672)"
109,JARD INF LA TIA  DE PILLY                                                                           ,CR. 112 NO.19-20,"CR. 112 NO.19-20,Bogota,Colombia","CR. 112 NO.19-20,Bogota,Colombia","(4.6822966, -74.150015)"
110,CENT EDUC MANUEL ELKIN PATARROYO                                                                    ,KR 44 73 32 SUR,"KR 44 73 32 SUR,Bogota,Colombia","CARRERA 44 73 32 SUR,Bogota,Colombia","(4.5654085, -74.0991543)"
111,HOG PSICOPEDAG LOS PASTORCITOS                                                                      ,KR 28 BIS 51 24,"KR 28 BIS 51 24,Bogota,Colombia","CARRERA 28 BIS 51 24,Bogota,Colombia","(4.6406219, -74.07767539999999)"
112,COL NUEVO SAN LUIS GONZAGA                                                                          ,KR 92 150 61,"KR 92 150 61,Bogota,Colombia","CARRERA 92 150 61,Bogota,Colombia","(4.745800099999999, -74.0849447)"
113,COL ADVENTISTA EMMANUEL                                                                             ,AV 12 SUR 18 13,"AV 12 SUR 18 13,Bogota,Colombia","AVENIDA 12 SUR 18 13,Bogota,Colombia","(4.586546, -74.0997667)"
114,JARD INF COLEGIO PIERRE LA ROUSSE                                                                   ,KR 107 139 88,"KR 107 139 88,Bogota,Colombia","CARRERA 107 139 88,Bogota,Colombia","(4.7427068, -74.0993337)"
115,COL MARIA ADELAIDA HOY                                                                              ,TV. 2A NO.51-29 SUR,"TV. 2A NO.51-29 SUR,Bogota,Colombia","TV. 2A NO.51-29 SUR,Bogota,Colombia","(4.5656441, -74.09383389999999)"
116,COL SAN LUCAS                                                                                       ,KR 31 D 1 F 44,"KR 31 D 1 F 44,Bogota,Colombia","CARRERA 31 D 1 F 44,Bogota,Colombia","(4.6024619, -74.1052535)"
117,CENT EDUC DIST CAFAM LOS NARANJOS,KR 80 M 71 C 31 SUR,"KR 80 M 71 C 31 SUR,Bogota,Colombia","CARRERA 80 M 71 C 31 SUR,Bogota,Colombia","(4.608299, -74.1938634)"
118,GIMN CACERES                                                                                        ,CL 73 SUR 80 I 37,"CL 73 SUR 80 I 37,Bogota,Colombia","CALLE 73 SUR 80 I 37,Bogota,Colombia","(4.6075789, -74.19827819999999)"
119,LIC Y JARD INF FANTASIAS DE PIOLIN                                                                  ,KR 84 70 09 SUR,"KR 84 70 09 SUR,Bogota,Colombia","CARRERA 84 70 09 SUR,Bogota,Colombia","(4.6923001, -74.10602399999999)"
120,COL PSICOPEDAG ERASMO DE ROTHERDAM                                                                  ,KR 45 C 73 B 09 SUR,"KR 45 C 73 B 09 SUR,Bogota,Colombia","CARRERA 45 C 73 B 09 SUR,Bogota,Colombia","(4.6411106, -74.1383929)"
121,GIMN ANTONIO ARBOLEDA                                                                               ,TR. 96 NO.88A-09 INT. 106-108,"TR. 96 NO.88A-09 INT. 106-108,Bogota,Colombia","TR. 96 NO.88A-09 INT. 106-108,Bogota,Colombia","(4.6868512, -74.0391899)"
122,GIM INF ALMENDROS                                                                                   ,CRA 114 B NO. 152 -78,"CRA 114 B NO. 152 -78,Bogota,Colombia","CARRERA 114 B NO. 152 -78,Bogota,Colombia","(4.7579279, -74.098692)"
123,COLEGIO VILLA ELISA (IED),CL 132 C 92 A 71,"CL 132 C 92 A 71,Bogota,Colombia","CALLE 132 C 92 A 71,Bogota,Colombia","(4.7323004, -74.0879545)"
124,LIC CAMBRIDGE                                                                                       ,KM. 7 VÍA SUBA-COTA,"KM. 7 VÍA SUBA-COTA,Bogota,Colombia","KM. 7 VÍA SUBA-COTA,Bogota,Colombia","(4.775029700000001, -74.0846377)"
125,GIMN RINCON DE LOS ANGELES                                                                          ,DG.   7A BIS NO. 73B-41,"DG.   7A BIS NO. 73B-41,Bogota,Colombia","DIAGONAL   7A BIS NO. 73B-41,Bogota,Colombia","(4.586293899999999, -74.06547189999999)"
126,LIC  LEANDRO CONCHA                                                                                 ,CL 51 SUR 78 L 79,"CL 51 SUR 78 L 79,Bogota,Colombia","CALLE 51 SUR 78 L 79,Bogota,Colombia","(4.6113297, -74.1674252)"
127,COL METODISTA DE COLOMBIA                                                                           ,DG. 68A SUR NO.18J-20,"DG. 68A SUR NO.18J-20,Bogota,Colombia","DIAGONAL 68A SUR NO.18J-20,Bogota,Colombia","(4.5504659, -74.147446)"
128,COL STA HELENA BAVIERA                                                                              ,KR 38 143 39,"KR 38 143 39,Bogota,Colombia","CARRERA 38 143 39,Bogota,Colombia","(4.6163434, -74.102537)"
129,COL SANTA ISABEL DE HUNGRIA                                                                         ,KR 60 165 10,"KR 60 165 10,Bogota,Colombia","CARRERA 60 165 10,Bogota,Colombia","(4.6819088, -74.06614429999999)"
130,LIC INF SAN LORENZO                                                                                 ,CR. 124 NO.65A-52,"CR. 124 NO.65A-52,Bogota,Colombia","CR. 124 NO.65A-52,Bogota,Colombia","(4.7169465, -74.1407705)"
