,nombreestablecimiento,direccion,direccion-completa,direccion-corregida,coordenada
590,JARD INF PREESC CIUDAD MONTES                                                                       ,AC 8 SUR 38 A 46,"AC 8 SUR 38 A 46,Bogota,Colombia","AC 8 SUR 38 A 46,Bogota,Colombia","(4.604844, -74.1137224)"
591,JARD INF SAINT GREGORY                                                                              ,TV 35 114 42,"TV 35 114 42,Bogota,Colombia","TV 35 114 42,Bogota,Colombia","(4.5673524, -74.1586956)"
592,COL PROVINMA                                                                                        ,CL 145 11 40,"CL 145 11 40,Bogota,Colombia","CALLE 145 11 40,Bogota,Colombia","(4.723927499999999, -74.0346024)"
593,JARD INF LOS PRINCIPES DEL CONDADO                                                                  ,KR 77 7 B 05,"KR 77 7 B 05,Bogota,Colombia","CARRERA 77 7 B 05,Bogota,Colombia","(4.681032099999999, -74.1065234)"
594,COL FILADELFIA PARA SORDOS                                                                          ,CL 59 14 A 58,"CL 59 14 A 58,Bogota,Colombia","CALLE 59 14 A 58,Bogota,Colombia","(4.6466429, -74.0667532)"
595,GIMN NUEVO MODELIA                                                                                  ,TV 73 A 24 C 85,"TV 73 A 24 C 85,Bogota,Colombia","TV 73 A 24 C 85,Bogota,Colombia","(4.6658551, -74.1161686)"
596,JARDÍN INFANTIL  MI REFUGIO DE ALEGRÍA,CL 22 A BIS 93 A 24,"CL 22 A BIS 93 A 24,Bogota,Colombia","CALLE 22 A BIS 93 A 24,Bogota,Colombia","(4.665171099999999, -74.1279938)"
597,GIMN LOS ANGELES                                                                                    ,KR 97 22 A 32,"KR 97 22 A 32,Bogota,Colombia","CARRERA 97 22 A 32,Bogota,Colombia","(4.6754042, -74.1386979)"
598,COL BILING MICHELINES SCHOOL                                                                        ,CL 106 A 43 04,"CL 106 A 43 04,Bogota,Colombia","CALLE 106 A 43 04,Bogota,Colombia","(4.689948999999999, -74.0437639)"
599,INSTITUCION EDUCATIVA TULIO OSPINA,CL 23 6 07,"CL 23 6 07,Bogota,Colombia","CALLE 23 6 07,Bogota,Colombia","(4.6085496, -74.0696535)"
600,GIMN SALEM                                                                                          ,CR. 80A NO.69A-09,"CR. 80A NO.69A-09,Bogota,Colombia","CR. 80A NO.69A-09,Bogota,Colombia","(4.6898011, -74.1044404)"
601,LIC PSICOPEDAG LA ESMERALDA                                                                         ,IND TR. 39 NO.44A-21,"IND TR. 39 NO.44A-21,Bogota,Colombia","IND TR. 39 NO.44A-21,Bogota,Colombia","(4.6305339, -74.0609733)"
602,EL JARD INF EL PORTAL DE ASTURIAS                                                                   ,CLL. 19B SUR NO. 54-27,"CLL. 19B SUR NO. 54-27,Bogota,Colombia","CLL. 19B SUR NO. 54-27,Bogota,Colombia","(4.5831114, -74.1018678)"
603,GIMN LATINOAMERICANO                                                                                ,CL 143 B 146 A 21,"CL 143 B 146 A 21,Bogota,Colombia","CALLE 143 B 146 A 21,Bogota,Colombia","(4.7519617, -74.11737529999999)"
604,INST LABERINTO DE LA CULTURA                                                                        ,TV 88 A 73 10 SUR,"TV 88 A 73 10 SUR,Bogota,Colombia","TV 88 A 73 10 SUR,Bogota,Colombia","(4.6220244, -74.2002428)"
605,MARIA BELEN DE SAN JOSE,CL 48 C SUR 5 71 ESTE,"CL 48 C SUR 5 71 ESTE,Bogota,Colombia","CALLE 48 C SUR 5 71 ESTE,Bogota,Colombia","(4.5766883, -74.1306689)"
606,COLEGIO EL MINUTO DE  BUENOS AIRES (IED),CL 78 A SUR 17 C 50,"CL 78 A SUR 17 C 50,Bogota,Colombia","CALLE 78 A SUR 17 C 50,Bogota,Colombia","(4.5394295, -74.1401218)"
607,CONNIE´S GARDEN                                                                                     ,CL 95 A 67 20,"CL 95 A 67 20,Bogota,Colombia","CALLE 95 A 67 20,Bogota,Colombia","(4.6958553, -74.0822014)"
608,GIMN LAS ALEGRIAS DE CRECER                                                                         ,DG 3 73 35,"DG 3 73 35,Bogota,Colombia","DIAGONAL 3 73 35,Bogota,Colombia","(4.625960399999999, -74.1440961)"
609,COLEGIO MARIO LUIS RODRIGUEZ COBOS,CL 5 86 C 23,"CL 5 86 C 23,Bogota,Colombia","CALLE 5 86 C 23,Bogota,Colombia","(4.5963412, -74.0851441)"
610,COL SAN FELIPE NERI                                                                                 ,KR 27 C 71 80,"KR 27 C 71 80,Bogota,Colombia","CARRERA 27 C 71 80,Bogota,Colombia","(4.6638256, -74.0704713)"
611,COLEGIO NUEVA GENERACIÓN ALTAMIRA - CONGA,KR 11 A ESTE 44 55 SUR,"KR 11 A ESTE 44 55 SUR,Bogota,Colombia","CARRERA 11 A ESTE 44 55 SUR,Bogota,Colombia","(4.5428875, -74.0875989)"
612,INST SAN RICARDO PAMPURI                                                                            ,KR 81 J 46 44 SUR,"KR 81 J 46 44 SUR,Bogota,Colombia","CARRERA 81 J 46 44 SUR,Bogota,Colombia","(4.6245582, -74.1715832)"
613,COL ALVERNIA                                                                                        ,TV 77 162 55,"TV 77 162 55,Bogota,Colombia","TV 77 162 55,Bogota,Colombia","(4.7486992, -74.0727842)"
614,COLEGIO LOS TEJARES (IED),CL 75 C BIS SUR 2 C 44 ESTE,"CL 75 C BIS SUR 2 C 44 ESTE,Bogota,Colombia","CALLE 75 C BIS SUR 2 C 44 ESTE,Bogota,Colombia","(4.5129595, -74.1084247)"
615,COL FUND SAN MARTIN                                                                                 ,KR 18 80 53,"KR 18 80 53,Bogota,Colombia","CARRERA 18 80 53,Bogota,Colombia","(4.6679641, -74.0584882)"
616,LIC CAMPESTRE CAFAM,DG 58 SUR 29 26,"DG 58 SUR 29 26,Bogota,Colombia","DIAGONAL 58 SUR 29 26,Bogota,Colombia","(4.577626299999999, -74.1430578)"
617,GIMN GARDER                                                                                         ,TV 5 I 48 B 25 SUR,"TV 5 I 48 B 25 SUR,Bogota,Colombia","TV 5 I 48 B 25 SUR,Bogota,Colombia","(4.5582582, -74.1113712)"
618,JARD INF MELODIAS ENCANTADAS                                                                        ,CL 127 42 15,"CL 127 42 15,Bogota,Colombia","CALLE 127 42 15,Bogota,Colombia","(4.7068612, -74.0550229)"
619,COLEGIO RODRIGO ARENAS BETANCOURT  (IED),KR 97 21 B 15,"KR 97 21 B 15,Bogota,Colombia","CARRERA 97 21 B 15,Bogota,Colombia","(4.6755587, -74.1388705)"
620,LICEO BIRMINGHAM,CL 38 S 78 48,"CL 38 S 78 48,Bogota,Colombia","CALLE 38 S 78 48,Bogota,Colombia","(4.6213063, -74.15088)"
621,LIC TEC MICROEMPRESARIAL FEYSER GORDILLO ROJAS                                                      ,KR 5 I 48 K 30 SUR,"KR 5 I 48 K 30 SUR,Bogota,Colombia","CARRERA 5 I 48 K 30 SUR,Bogota,Colombia","(4.5569548, -74.11149879999999)"
622,JARD INF PEQUEÑAS MARAVILLAS                                                                        ,CL 8 A SUR 7 A 30,"CL 8 A SUR 7 A 30,Bogota,Colombia","CALLE 8 A SUR 7 A 30,Bogota,Colombia","(4.5814674, -74.0863538)"
623,COLEGIO JORGE ELIECER GAITAN  (IED),CL 66 A 43 25,"CL 66 A 43 25,Bogota,Colombia","CALLE 66 A 43 25,Bogota,Colombia","(4.6543356, -74.0654857)"
624,COL NEIL ARMSTRONG                                                                                  ,CLL. 125 NO.92-68,"CLL. 125 NO.92-68,Bogota,Colombia","CLL. 125 NO.92-68,Bogota,Colombia","(4.7051999, -74.0529419)"
625,COL DE PROFESIONALIZACION TECNOLOGICA                                                               ,CL 79 107 28,"CL 79 107 28,Bogota,Colombia","CALLE 79 107 28,Bogota,Colombia","(4.6628891, -74.0538311)"
626,COLEGIO GENERAL GUSTAVO ROJAS PINILLA (IED),KR 84 B 16 65,"KR 84 B 16 65,Bogota,Colombia","CARRERA 84 B 16 65,Bogota,Colombia","(4.6190187, -74.18248799999999)"
627,JARD INF MERCEDITAS                                                                                 ,CR. 19 NO.39-58,"CR. 19 NO.39-58,Bogota,Colombia","CR. 19 NO.39-58,Bogota,Colombia","(4.5841651, -74.1032929)"
628,COL COLOMBO GALES                                                                                   ,IND AV GUAIMARAL COSTADO SUR AEROPUERTO,"IND AV GUAIMARAL COSTADO SUR AEROPUERTO,Bogota,Colombia","IND AVENIDA GUAIMARAL COSTADO SUR AEROPUERTO,Bogota,Colombia","(4.8095455, -74.0382704)"
629,JARD INF LOCAS CABECITAS                                                                            ,CLL. 43 NO.79-36,"CLL. 43 NO.79-36,Bogota,Colombia","CLL. 43 NO.79-36,Bogota,Colombia","(4.6302606, -74.064748)"
630,COLEGIO JOSE MARIA VARGAS VILA (IED),DG 74 B BIS SUR 26 C 12,"DG 74 B BIS SUR 26 C 12,Bogota,Colombia","DIAGONAL 74 B BIS SUR 26 C 12,Bogota,Colombia","(4.517214, -74.111226)"
631,COLEGIO LOS ALPES (IED),KR 12 ESTE 33 A 80 SUR,"KR 12 ESTE 33 A 80 SUR,Bogota,Colombia","CARRERA 12 ESTE 33 A 80 SUR,Bogota,Colombia","(4.5526932, -74.0847373)"
632,LIC SAN BASILIO MAGNO                                                                               ,CL 83 108 27,"CL 83 108 27,Bogota,Colombia","CALLE 83 108 27,Bogota,Colombia","(4.6623393, -74.0471019)"
633,COL PASOS FIRMES                                                                                    ,KR 109 A 79 05,"KR 109 A 79 05,Bogota,Colombia","CARRERA 109 A 79 05,Bogota,Colombia","(4.7510904, -74.09729410000001)"
634,COL LATINOAMERICA                                                                                   ,CLL. 48 SUR NO.101-58/60,"CLL. 48 SUR NO.101-58/60,Bogota,Colombia","CLL. 48 SUR NO.101-58/60,Bogota,Colombia","(4.5468186, -74.1009363)"
635,COLEGIO ATENAS (IED),DG 34 SUR 2 A 05 ESTE,"DG 34 SUR 2 A 05 ESTE,Bogota,Colombia","DIAGONAL 34 SUR 2 A 05 ESTE,Bogota,Colombia","(4.6439463, -74.166175)"
636,LICEO INFANTIL EL MUNDO DE LOS NIÑOS,CRA 56A NO. 2-74,"CRA 56A NO. 2-74,Bogota,Colombia","CARRERA 56A NO. 2-74,Bogota,Colombia","(4.617394099999999, -74.1220376)"
637,KINDERMUSIKAL PREESCOLAR,CL 127 B 49 06,"CL 127 B 49 06,Bogota,Colombia","CALLE 127 B 49 06,Bogota,Colombia","(4.710042, -74.05716129999999)"
638,LIC MAYOR ANDINO                                                                                    ,DG 10 B 78 04,"DG 10 B 78 04,Bogota,Colombia","DIAGONAL 10 B 78 04,Bogota,Colombia","(4.6431008, -74.1384806)"
639,COL VIÑA DEL MAR                                                                                    ,KR 105 67 F 03,"KR 105 67 F 03,Bogota,Colombia","CARRERA 105 67 F 03,Bogota,Colombia","(4.699625999999999, -74.1230324)"
640,FUND COL SAN BENITO DE TIBATI                                                                       ,KR 12 188 A 65,"KR 12 188 A 65,Bogota,Colombia","CARRERA 12 188 A 65,Bogota,Colombia","(4.7656383, -74.03334009999999)"
641,JARD INF ANGELITOS CONSENTIDOS                                                                      ,CL 73 72 90,"CL 73 72 90,Bogota,Colombia","CALLE 73 72 90,Bogota,Colombia","(4.689134000000001, -74.0951244)"
642,COL COLOMBO FLORIDA BILINGÜE                                                                        ,CR. 13 NO.20-27 SUR,"CR. 13 NO.20-27 SUR,Bogota,Colombia","CR. 13 NO.20-27 SUR,Bogota,Colombia","(4.5783931, -74.1066862)"
643,JARD INF RISITAS                                                                                    ,KR 68 BIS 9 B 05 SUR,"KR 68 BIS 9 B 05 SUR,Bogota,Colombia","CARRERA 68 BIS 9 B 05 SUR,Bogota,Colombia","(4.617022899999999, -74.1270256)"
644,LIC  DE CERVANTES PADRES AGUSTINOS                                                                  ,CL 153 19 39,"CL 153 19 39,Bogota,Colombia","CALLE 153 19 39,Bogota,Colombia","(4.736172499999999, -74.0463446)"
645,GIMNASIO FRAY MARTÍN DE PORRES,CL 86 BIS 89 B 28,"CL 86 BIS 89 B 28,Bogota,Colombia","CALLE 86 BIS 89 B 28,Bogota,Colombia","(4.7092957, -74.0993665)"
646,COL SAN JUAN DE AVIILA                                                                              ,KR 100 B 75 B 05,"KR 100 B 75 B 05,Bogota,Colombia","CARRERA 100 B 75 B 05,Bogota,Colombia","(4.707809999999999, -74.11466999999999)"
647,COL NUEVO PARAISO                                                                                   ,TV 79 A 6 A 41,"TV 79 A 6 A 41,Bogota,Colombia","TV 79 A 6 A 41,Bogota,Colombia","(4.6343134, -74.1492449)"
648,INST SUP COOPERATIVO                                                                                ,CL 80 78 88,"CL 80 78 88,Bogota,Colombia","CALLE 80 78 88,Bogota,Colombia","(4.6991946, -74.0956884)"
649,COL MONTFERRI                                                                                       ,KR 77 9 44,"KR 77 9 44,Bogota,Colombia","CARRERA 77 9 44,Bogota,Colombia","(4.6417413, -74.1392247)"
650,CENT EDUC LIBERTAD                                                                                  ,CLL. 7 NO.3-27,"CLL. 7 NO.3-27,Bogota,Colombia","CLL. 7 NO.3-27,Bogota,Colombia","(4.5934037, -74.0738461)"
651,COL DE NSTRA SRA DEL BUEN CONSEJO                                                                   ,CL 104 17 22,"CL 104 17 22,Bogota,Colombia","CALLE 104 17 22,Bogota,Colombia","(4.6901706, -74.0494954)"
652,JARD INF LA FRESITA FELIZ                                                                           ,DG. 8A NO.48C-04,"DG. 8A NO.48C-04,Bogota,Colombia","DIAGONAL 8A NO.48C-04,Bogota,Colombia","(4.5742001, -74.1647364)"
653,COLEGIO COLSUBSIDIO CIUDADELA,CL 83 110 58,"CL 83 110 58,Bogota,Colombia","CALLE 83 110 58,Bogota,Colombia","(4.7206777, -74.11379769999999)"
654,LIC HOMERICO                                                                                        ,CL 133 101 27,"CL 133 101 27,Bogota,Colombia","CALLE 133 101 27,Bogota,Colombia","(4.7359145, -74.0959309)"
655,INST SURORIENTAL SAN JORGE NOCTURNO                                                                 ,KR 10 18 48 SUR,"KR 10 18 48 SUR,Bogota,Colombia","CARRERA 10 18 48 SUR,Bogota,Colombia","(4.6065014, -74.0741874)"
656,COL WESLEYANO DEL NORTE                                                                             ,CL 161 22 49,"CL 161 22 49,Bogota,Colombia","CALLE 161 22 49,Bogota,Colombia","(4.741585499999999, -74.0472085)"
657,COLEGO ORLANDO FALS BORDA (ANTES BARRANQUILLITA) (IED),KR 1 A ESTE 72 60 SUR,"KR 1 A ESTE 72 60 SUR,Bogota,Colombia","CARRERA 1 A ESTE 72 60 SUR,Bogota,Colombia","(4.6520791, -74.0503342)"
658,COLEGIO SAN CAYETANO (IED),CL 74 A SUR 17 49 ESTE,"CL 74 A SUR 17 49 ESTE,Bogota,Colombia","CALLE 74 A SUR 17 49 ESTE,Bogota,Colombia","(4.5159647, -74.1172757)"
659,COL JARD MI PEQUEÑO BOHIO                                                                           ,CLL. 26 NO.116B-15,"CLL. 26 NO.116B-15,Bogota,Colombia","CLL. 26 NO.116B-15,Bogota,Colombia","(4.574936900000001, -74.0992946)"
